"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"grated cheese","mineral water","chutney","salmon","cereals","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"olive oil","","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","mineral water","","","","","","","","","","","","","","","","","",""
"tomatoes","spaghetti","meatballs","strong cheese","salmon","honey","chicken","green tea","","","","","","","","","","","",""
"shrimp","ground beef","spaghetti","mineral water","olive oil","black tea","salmon","honey","light cream","cooking oil","extra dark chocolate","brownies","tomato juice","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"ham","chocolate","whole wheat pasta","milk","olive oil","chicken","bacon","whole wheat rice","cottage cheese","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"eggs","ham","","","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"burgers","spaghetti","eggs","whole wheat rice","cooking oil","chicken","chocolate","cookies","green tea","","","","","","","","","","",""
"soup","bug spray","shallot","protein bar","green tea","","","","","","","","","","","","","","",""
"whole wheat pasta","yams","mineral water","muffins","frozen smoothie","hot dogs","energy drink","","","","","","","","","","","","",""
"brownies","pancakes","","","","","","","","","","","","","","","","","",""
"spaghetti","meatballs","butter","almonds","chicken","fromage blanc","strong cheese","green beans","","","","","","","","","","","",""
"milk","frozen smoothie","white wine","","","","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"eggs","french fries","","","","","","","","","","","","","","","","","",""
"herb & pepper","muffins","","","","","","","","","","","","","","","","","",""
"fresh bread","","","","","","","","","","","","","","","","","","",""
"mineral water","chocolate","chicken","","","","","","","","","","","","","","","","",""
"meatballs","bug spray","burger sauce","cereals","","","","","","","","","","","","","","","",""
"burgers","mineral water","gums","light cream","frozen smoothie","fresh bread","","","","","","","","","","","","","",""
"mineral water","salmon","yogurt cake","","","","","","","","","","","","","","","","",""
"burgers","spaghetti","green grapes","cake","frozen smoothie","cottage cheese","","","","","","","","","","","","","",""
"burgers","mineral water","milk","eggs","whole wheat rice","mint","","","","","","","","","","","","","",""
"shrimp","mineral water","milk","olive oil","eggs","","","","","","","","","","","","","","",""
"burgers","spaghetti","shallot","mushroom cream sauce","","","","","","","","","","","","","","","",""
"herb & pepper","mineral water","eggs","green tea","","","","","","","","","","","","","","","",""
"cake","french fries","","","","","","","","","","","","","","","","","",""
"bug spray","protein bar","","","","","","","","","","","","","","","","","",""
"mineral water","eggs","cookies","strawberries","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"olive oil","cake","energy drink","","","","","","","","","","","","","","","","",""
"grated cheese","green tea","","","","","","","","","","","","","","","","","",""
"herb & pepper","tomato sauce","spaghetti","mineral water","avocado","milk","olive oil","bacon","pancakes","whole wheat rice","whole weat flour","cereals","french fries","frozen smoothie","","","","","",""
"fromage blanc","eggs","yogurt cake","","","","","","","","","","","","","","","","",""
"red wine","","","","","","","","","","","","","","","","","","",""
"mineral water","pancakes","french fries","cookies","shallot","green tea","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"avocado","zucchini","","","","","","","","","","","","","","","","","",""
"turkey","shrimp","frozen vegetables","eggs","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"magazines","mint","","","","","","","","","","","","","","","","","",""
"mineral water","soup","oil","cooking oil","honey","","","","","","","","","","","","","","",""
"oil","","","","","","","","","","","","","","","","","","",""
"blueberries","clothes accessories","french fries","frozen smoothie","escalope","fresh bread","","","","","","","","","","","","","",""
"burgers","eggs","","","","","","","","","","","","","","","","","",""
"pepper","spaghetti","light cream","","","","","","","","","","","","","","","","",""
"frozen smoothie","cottage cheese","","","","","","","","","","","","","","","","","",""
"fresh tuna","tomatoes","spaghetti","chicken","cake","escalope","","","","","","","","","","","","","",""
"mineral water","french fries","","","","","","","","","","","","","","","","","",""
"mineral water","muffins","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"turkey","mineral water","milk","salmon","green tea","chocolate","escalope","","","","","","","","","","","","",""
"french fries","energy drink","","","","","","","","","","","","","","","","","",""
"ham","frozen vegetables","energy bar","whole weat flour","green tea","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"red wine","","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","chicken","pancakes","","","","","","","","","","","","","","","",""
"chicken","chocolate","cookies","","","","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"turkey","burgers","whole wheat rice","eggplant","chocolate","cookies","toothpaste","","","","","","","","","","","","",""
"eggs","white wine","","","","","","","","","","","","","","","","","",""
"eggs","mashed potato","","","","","","","","","","","","","","","","","",""
"burgers","frozen vegetables","mineral water","milk","olive oil","honey","chocolate","","","","","","","","","","","","",""
"tomato sauce","chocolate","pancakes","","","","","","","","","","","","","","","","",""
"herb & pepper","whole wheat pasta","ground beef","pepper","light cream","barbecue sauce","french fries","escalope","hot dogs","sparkling water","","","","","","","","","",""
"soup","olive oil","","","","","","","","","","","","","","","","","",""
"pickles","cereals","green tea","","","","","","","","","","","","","","","","",""
"turkey","frozen vegetables","pepper","avocado","muffins","white wine","toothpaste","","","","","","","","","","","","",""
"tomatoes","whole wheat pasta","mineral water","milk","french wine","salmon","sparkling water","","","","","","","","","","","","",""
"burgers","ground beef","spaghetti","whole wheat rice","cottage cheese","","","","","","","","","","","","","","",""
"turkey","burgers","shrimp","ground beef","spaghetti","mineral water","milk","olive oil","salmon","honey","whole wheat rice","rice","burger sauce","french fries","hot dogs","protein bar","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"turkey","grated cheese","herb & pepper","tomato sauce","spaghetti","black tea","salmon","eggs","rice","","","","","","","","","","",""
"burgers","shrimp","pepper","spaghetti","mineral water","almonds","chicken","bug spray","low fat yogurt","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"shrimp","pancakes","oatmeal","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"tomato juice","","","","","","","","","","","","","","","","","","",""
"mineral water","cookies","","","","","","","","","","","","","","","","","",""
"turkey","burgers","french wine","french fries","green tea","","","","","","","","","","","","","","",""
"salmon","escalope","shallot","strawberries","fresh bread","low fat yogurt","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"protein bar","hand protein bar","green tea","","","","","","","","","","","","","","","","",""
"ground beef","","","","","","","","","","","","","","","","","","",""
"grated cheese","mineral water","milk","chicken","eggs","","","","","","","","","","","","","","",""
"chocolate","herb & pepper","ground beef","mineral water","chicken","antioxydant juice","low fat yogurt","","","","","","","","","","","","",""
"ham","tomatoes","mineral water","french fries","low fat yogurt","","","","","","","","","","","","","","",""
"bacon","","","","","","","","","","","","","","","","","","",""
"muffins","french fries","","","","","","","","","","","","","","","","","",""
"black tea","green tea","light mayo","","","","","","","","","","","","","","","","",""
"soup","milk","salmon","","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"milk","cooking oil","chocolate","strawberries","","","","","","","","","","","","","","","",""
"mineral water","low fat yogurt","","","","","","","","","","","","","","","","","",""
"turkey","","","","","","","","","","","","","","","","","","",""
"shrimp","mineral water","pancakes","clothes accessories","champagne","protein bar","","","","","","","","","","","","","",""
"pancakes","eggs","light cream","","","","","","","","","","","","","","","","",""
"red wine","tomatoes","spaghetti","mineral water","soup","blueberries","","","","","","","","","","","","","",""
"turkey","herb & pepper","frozen vegetables","ground beef","yams","mineral water","salmon","","","","","","","","","","","","",""
"ground beef","mineral water","milk","whole wheat rice","cake","yogurt cake","light mayo","","","","","","","","","","","","",""
"energy bar","energy drink","","","","","","","","","","","","","","","","","",""
"vegetables mix","champagne","","","","","","","","","","","","","","","","","",""
"frozen vegetables","meatballs","pancakes","eggs","chocolate","french fries","frozen smoothie","","","","","","","","","","","","",""
"soup","avocado","eggs","melons","white wine","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","mineral water","frozen smoothie","cottage cheese","green tea","","","","","","","","","","","","","",""
"pepper","","","","","","","","","","","","","","","","","","",""
"ham","whole wheat rice","french fries","champagne","cauliflower","","","","","","","","","","","","","","",""
"mineral water","soup","bacon","cake","light cream","eggplant","brownies","","","","","","","","","","","","",""
"mineral water","pancakes","eggs","whole wheat rice","yogurt cake","green tea","","","","","","","","","","","","","",""
"pepper","burger sauce","antioxydant juice","energy drink","","","","","","","","","","","","","","","",""
"milk","energy bar","escalope","white wine","","","","","","","","","","","","","","","",""
"mineral water","green tea","","","","","","","","","","","","","","","","","",""
"burgers","ground beef","mineral water","chocolate","champagne","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","mineral water","avocado","chocolate","french fries","cookies","melons","","","","","","","","","","","",""
"burgers","turkey","tomatoes","soup","milk","salmon","honey","green beans","whole weat flour","french fries","frozen smoothie","tomato juice","","","","","","","",""
"pickles","tomatoes","spaghetti","pancakes","cooking oil","escalope","low fat yogurt","","","","","","","","","","","","",""
"red wine","","","","","","","","","","","","","","","","","","",""
"shrimp","whole wheat pasta","spaghetti","meatballs","chicken","frozen smoothie","tomato juice","","","","","","","","","","","","",""
"burgers","almonds","carrots","","","","","","","","","","","","","","","","",""
"frozen vegetables","pepper","mineral water","chicken","strong cheese","chocolate","french fries","","","","","","","","","","","","",""
"butter","chocolate","","","","","","","","","","","","","","","","","",""
"chocolate","milk","clothes accessories","","","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","brownies","low fat yogurt","","","","","","","","","","","","","","","",""
"fromage blanc","eggs","protein bar","salt","","","","","","","","","","","","","","","",""
"frozen vegetables","eggs","honey","hot dogs","light mayo","","","","","","","","","","","","","","",""
"mineral water","milk","chocolate","","","","","","","","","","","","","","","","",""
"turkey","whole wheat pasta","spaghetti","mineral water","black tea","pancakes","eggs","whole wheat rice","cake","green tea","","","","","","","","","",""
"frozen vegetables","spaghetti","mineral water","vegetables mix","","","","","","","","","","","","","","","",""
"salmon","pancakes","cake","","","","","","","","","","","","","","","","",""
"turkey","eggs","","","","","","","","","","","","","","","","","",""
"grated cheese","shrimp","","","","","","","","","","","","","","","","","",""
"chocolate","muffins","","","","","","","","","","","","","","","","","",""
"burgers","shrimp","mineral water","chicken","fromage blanc","salmon","eggs","cake","frozen smoothie","strawberries","","","","","","","","","",""
"olive oil","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","french fries","","","","","","","","","","","","","","","","","",""
"turkey","ground beef","olive oil","eggs","blueberries","bug spray","green tea","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"cake","french fries","","","","","","","","","","","","","","","","","",""
"shrimp","spaghetti","mineral water","soup","milk","bramble","frozen smoothie","cottage cheese","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","chicken","fresh bread","magazines","green tea","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"burgers","herb & pepper","frozen vegetables","pepper","salmon","pancakes","honey","gums","chicken","extra dark chocolate","eggplant","green tea","melons","","","","","","",""
"cake","cookies","","","","","","","","","","","","","","","","","",""
"extra dark chocolate","mashed potato","","","","","","","","","","","","","","","","","",""
"eggs","cookies","","","","","","","","","","","","","","","","","",""
"spaghetti","chutney","","","","","","","","","","","","","","","","","",""
"ham","red wine","whole wheat rice","","","","","","","","","","","","","","","","",""
"chocolate","cider","vegetables mix","pancakes","","","","","","","","","","","","","","","",""
"mineral water","milk","","","","","","","","","","","","","","","","","",""
"eggs","soda","gluten free bar","white wine","","","","","","","","","","","","","","","",""
"mineral water","french fries","frozen smoothie","green tea","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"burgers","frozen vegetables","whole wheat pasta","mineral water","chocolate","eggs","blueberries","burger sauce","chicken","oatmeal","toothpaste","","","","","","","","",""
"dessert wine","mineral water","eggs","champagne","pancakes","","","","","","","","","","","","","","",""
"pepper","mineral water","","","","","","","","","","","","","","","","","",""
"turkey","frozen vegetables","milk","eggs","","","","","","","","","","","","","","","",""
"mineral water","light cream","cooking oil","chicken","","","","","","","","","","","","","","","",""
"parmesan cheese","chicken","","","","","","","","","","","","","","","","","",""
"red wine","frozen vegetables","ground beef","mineral water","vegetables mix","eggs","rice","brownies","","","","","","","","","","","",""
"pepper","mineral water","milk","eggs","whole wheat rice","frozen smoothie","","","","","","","","","","","","","",""
"green tea","zucchini","","","","","","","","","","","","","","","","","",""
"grated cheese","mineral water","soup","olive oil","","","","","","","","","","","","","","","",""
"ham","tomatoes","mineral water","soup","milk","vegetables mix","cake","bramble","frozen smoothie","escalope","hot dogs","cottage cheese","low fat yogurt","","","","","","",""
"chocolate","whole wheat pasta","spaghetti","cake","blueberries","oil","chicken","","","","","","","","","","","","",""
"tomatoes","olive oil","french wine","chocolate","frozen smoothie","honey","","","","","","","","","","","","","",""
"spinach","eggs","oil","chocolate","cookies","tomato juice","fresh bread","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"chocolate","pancakes","rice","frozen smoothie","low fat yogurt","","","","","","","","","","","","","","",""
"pepper","","","","","","","","","","","","","","","","","","",""
"chocolate","herb & pepper","frozen vegetables","whole wheat pasta","salmon","soda","white wine","","","","","","","","","","","","",""
"burgers","ham","mineral water","soup","avocado","milk","whole wheat rice","shampoo","babies food","","","","","","","","","","",""
"tomatoes","spaghetti","soup","milk","olive oil","chicken","green beans","frozen smoothie","","","","","","","","","","","",""
"turkey","herb & pepper","red wine","parmesan cheese","mineral water","olive oil","bacon","salmon","green tea","french fries","champagne","cottage cheese","tomato juice","","","","","","",""
"grated cheese","spaghetti","mineral water","chicken","nonfat milk","eggs","cake","","","","","","","","","","","","",""
"almonds","french wine","","","","","","","","","","","","","","","","","",""
"milk","almonds","vegetables mix","","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","mineral water","","","","","","","","","","","","","","","","",""
"grated cheese","tomatoes","spaghetti","mineral water","milk","ketchup","carrots","french fries","protein bar","","","","","","","","","","",""
"eggs","cookies","","","","","","","","","","","","","","","","","",""
"olive oil","zucchini","","","","","","","","","","","","","","","","","",""
"turkey","spaghetti","olive oil","green beans","mint green tea","chocolate","mushroom cream sauce","","","","","","","","","","","","",""
"babies food","fresh bread","","","","","","","","","","","","","","","","","",""
"mineral water","eggs","honey","protein bar","","","","","","","","","","","","","","","",""
"burgers","mineral water","eggs","","","","","","","","","","","","","","","","",""
"burgers","frozen vegetables","tomatoes","strong cheese","muffins","eggs","french fries","yogurt cake","light mayo","green tea","","","","","","","","","",""
"milk","vegetables mix","french fries","","","","","","","","","","","","","","","","",""
"spaghetti","milk","olive oil","low fat yogurt","","","","","","","","","","","","","","","",""
"burgers","herb & pepper","frozen vegetables","tomatoes","whole wheat pasta","ground beef","spaghetti","mineral water","barbecue sauce","toothpaste","","","","","","","","","",""
"turkey","shrimp","frozen vegetables","tomatoes","parmesan cheese","ground beef","spaghetti","mineral water","milk","vegetables mix","nonfat milk","green grapes","whole wheat rice","","","","","","",""
"ground beef","tomato sauce","mineral water","meatballs","chicken","brownies","fresh bread","low fat yogurt","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"cake","french fries","","","","","","","","","","","","","","","","","",""
"bug spray","clothes accessories","cottage cheese","","","","","","","","","","","","","","","","",""
"vegetables mix","","","","","","","","","","","","","","","","","","",""
"green beans","escalope","","","","","","","","","","","","","","","","","",""
"grated cheese","chocolate","mashed potato","champagne","zucchini","","","","","","","","","","","","","","",""
"soup","milk","honey","whole wheat rice","light cream","mushroom cream sauce","green tea","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"turkey","olive oil","flax seed","eggs","chocolate","french fries","escalope","energy drink","","","","","","","","","","","",""
"bug spray","light mayo","","","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"grated cheese","avocado","french fries","green tea","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"shrimp","","","","","","","","","","","","","","","","","","",""
"ham","grated cheese","pepper","pancakes","honey","light cream","bug spray","escalope","","","","","","","","","","","",""
"ground beef","mineral water","oil","barbecue sauce","frozen smoothie","brownies","white wine","green tea","","","","","","","","","","","",""
"ground beef","tomato sauce","spaghetti","mineral water","eggs","blueberries","french fries","green tea","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"ham","grated cheese","chocolate","whole wheat rice","yogurt cake","cauliflower","","","","","","","","","","","","","",""
"tomatoes","rice","oil","green tea","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","salmon","","","","","","","","","","","","","","","","",""
"milk","cake","green tea","","","","","","","","","","","","","","","","",""
"cottage cheese","mayonnaise","","","","","","","","","","","","","","","","","",""
"turkey","burgers","grated cheese","shrimp","pasta","spaghetti","mineral water","eggs","oil","chocolate","yogurt cake","zucchini","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"turkey","mineral water","eggs","green tea","hot dogs","cauliflower","","","","","","","","","","","","","",""
"spaghetti","salmon","pancakes","eggs","green beans","french fries","tomato juice","zucchini","green tea","","","","","","","","","","",""
"honey","french fries","escalope","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"green tea","mint","","","","","","","","","","","","","","","","","",""
"ham","spaghetti","yams","chicken","cooking oil","chocolate","hot dogs","","","","","","","","","","","","",""
"turkey","spaghetti","salmon","brownies","body spray","","","","","","","","","","","","","","",""
"grated cheese","spaghetti","mineral water","salmon","whole wheat rice","blueberries","green beans","sandwich","pancakes","shampoo","","","","","","","","","",""
"chocolate","grated cheese","herb & pepper","mineral water","soup","olive oil","","","","","","","","","","","","","",""
"hot dogs","","","","","","","","","","","","","","","","","","",""
"cottage cheese","","","","","","","","","","","","","","","","","","",""
"frozen smoothie","melons","","","","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","fromage blanc","chocolate","french fries","escalope","","","","","","","","","","","","","",""
"mineral water","avocado","meatballs","milk","cake","cooking oil","chocolate","french fries","","","","","","","","","","","",""
"muffins","white wine","","","","","","","","","","","","","","","","","",""
"grated cheese","chocolate","french fries","escalope","","","","","","","","","","","","","","","",""
"butter","pancakes","eggs","frozen smoothie","low fat yogurt","","","","","","","","","","","","","","",""
"french fries","escalope","pasta","mushroom cream sauce","","","","","","","","","","","","","","","",""
"parmesan cheese","whole wheat pasta","spaghetti","soup","almonds","cake","champagne","hot dogs","protein bar","tomato juice","fresh bread","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"red wine","tomatoes","tea","escalope","champagne","","","","","","","","","","","","","","",""
"rice","","","","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"spaghetti","whole wheat rice","french fries","cookies","green tea","","","","","","","","","","","","","","",""
"turkey","herb & pepper","spaghetti","chicken","pancakes","extra dark chocolate","hot dogs","green tea","","","","","","","","","","","",""
"turkey","shrimp","meatballs","butter","eggs","salad","green tea","","","","","","","","","","","","",""
"chicken","eggs","light mayo","green tea","","","","","","","","","","","","","","","",""
"shrimp","honey","pasta","energy drink","green tea","","","","","","","","","","","","","","",""
"herb & pepper","red wine","mineral water","soup","milk","chicken","corn","carrots","whole weat flour","cereals","french fries","pancakes","asparagus","","","","","","",""
"pickles","melons","","","","","","","","","","","","","","","","","",""
"burgers","butter","carrots","chocolate","cookies","","","","","","","","","","","","","","",""
"salmon","melons","tomato juice","low fat yogurt","","","","","","","","","","","","","","","",""
"tomatoes","french fries","escalope","cookies","brownies","pancakes","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","parmesan cheese","ground beef","tomato sauce","spaghetti","mineral water","salmon","rice","clothes accessories","chocolate","champagne","frozen smoothie","fresh bread","","","","","",""
"chocolate","grated cheese","salmon","french fries","cookies","shallot","tomato juice","low fat yogurt","","","","","","","","","","","",""
"turkey","frozen vegetables","mineral water","chicken","eggs","antioxydant juice","chocolate","fresh bread","white wine","green tea","","","","","","","","","",""
"blueberries","","","","","","","","","","","","","","","","","","",""
"chocolate","shrimp","cereals","champagne","green tea","","","","","","","","","","","","","","",""
"burgers","energy bar","almonds","eggs","french fries","green tea","","","","","","","","","","","","","",""
"spaghetti","mineral water","fromage blanc","french fries","","","","","","","","","","","","","","","",""
"mineral water","energy drink","","","","","","","","","","","","","","","","","",""
"butter","green grapes","frozen smoothie","low fat yogurt","","","","","","","","","","","","","","","",""
"turkey","grated cheese","mineral water","cake","french fries","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","spaghetti","salmon","muffins","whole wheat rice","cake","light cream","carrots","green tea","french fries","champagne","frozen smoothie","","","","","","",""
"grated cheese","herb & pepper","whole wheat pasta","yams","mineral water","bacon","nonfat milk","spinach","","","","","","","","","","","",""
"olive oil","","","","","","","","","","","","","","","","","","",""
"yams","","","","","","","","","","","","","","","","","","",""
"red wine","eggs","","","","","","","","","","","","","","","","","",""
"honey","escalope","","","","","","","","","","","","","","","","","",""
"ground beef","pepper","spaghetti","mineral water","","","","","","","","","","","","","","","",""
"turkey","","","","","","","","","","","","","","","","","","",""
"shrimp","spaghetti","chocolate","french fries","escalope","cookies","brownies","pancakes","melons","","","","","","","","","","",""
"ground beef","pepper","spaghetti","","","","","","","","","","","","","","","","",""
"spaghetti","green tea","","","","","","","","","","","","","","","","","",""
"milk","escalope","champagne","hot dogs","fresh bread","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"grated cheese","butter","chocolate","french fries","cookies","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"turkey","tomatoes","eggs","chocolate","","","","","","","","","","","","","","","",""
"grated cheese","herb & pepper","ground beef","spaghetti","mineral water","butter","salmon","rice","extra dark chocolate","clothes accessories","french fries","","","","","","","","",""
"chocolate","mineral water","vegetables mix","pancakes","whole wheat rice","ketchup","clothes accessories","champagne","fresh bread","","","","","","","","","","",""
"milk","sparkling water","asparagus","low fat yogurt","","","","","","","","","","","","","","","",""
"mineral water","ham","frozen smoothie","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"turkey","tomatoes","pepper","mineral water","soup","milk","cake","pet food","","","","","","","","","","","",""
"frozen vegetables","mineral water","honey","whole wheat rice","champagne","escalope","","","","","","","","","","","","","",""
"spaghetti","whole wheat rice","corn","champagne","","","","","","","","","","","","","","","",""
"cider","","","","","","","","","","","","","","","","","","",""
"fresh tuna","grated cheese","spaghetti","mineral water","salmon","eggs","mashed potato","","","","","","","","","","","","",""
"frozen vegetables","mineral water","pancakes","low fat yogurt","","","","","","","","","","","","","","","",""
"burgers","shrimp","tomatoes","bacon","whole wheat rice","green tea","","","","","","","","","","","","","",""
"mineral water","whole wheat rice","cooking oil","french fries","escalope","","","","","","","","","","","","","","",""
"chocolate","mineral water","olive oil","eggs","honey","frozen smoothie","sparkling water","candy bars","","","","","","","","","","","",""
"mineral water","frozen smoothie","","","","","","","","","","","","","","","","","",""
"grated cheese","whole wheat pasta","mineral water","chocolate","milk","olive oil","french wine","","","","","","","","","","","","",""
"grated cheese","spaghetti","mineral water","chocolate","olive oil","french wine","cereals","antioxydant juice","green tea","pasta","fresh bread","white wine","cauliflower","","","","","","",""
"soup","olive oil","chocolate","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","mineral water","milk","cottage cheese","low fat yogurt","","","","","","","","","","","","","",""
"chocolate","herb & pepper","tomatoes","whole wheat pasta","spaghetti","mineral water","olive oil","vegetables mix","pancakes","hot dogs","","","","","","","","","",""
"red wine","mineral water","green tea","","","","","","","","","","","","","","","","",""
"chocolate","ground beef","spaghetti","soup","milk","energy bar","cooking oil","toothpaste","zucchini","","","","","","","","","","",""
"ground beef","pepper","mineral water","chocolate","white wine","","","","","","","","","","","","","","",""
"gluten free bar","","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","milk","eggs","light cream","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"oil","light mayo","","","","","","","","","","","","","","","","","",""
"red wine","black tea","honey","cake","","","","","","","","","","","","","","","",""
"avocado","milk","cereals","fresh bread","","","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"shrimp","french fries","champagne","","","","","","","","","","","","","","","","",""
"burgers","ham","whole wheat rice","chocolate","french fries","cookies","green tea","","","","","","","","","","","","",""
"eggs","whole wheat rice","","","","","","","","","","","","","","","","","",""
"yams","","","","","","","","","","","","","","","","","","",""
"mineral water","vegetables mix","low fat yogurt","","","","","","","","","","","","","","","","",""
"burgers","meatballs","eggs","","","","","","","","","","","","","","","","",""
"mineral water","honey","frozen smoothie","cottage cheese","body spray","","","","","","","","","","","","","","",""
"tomato juice","mayonnaise","","","","","","","","","","","","","","","","","",""
"pasta","","","","","","","","","","","","","","","","","","",""
"turkey","herb & pepper","mineral water","gluten free bar","","","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"ham","mineral water","milk","french fries","babies food","","","","","","","","","","","","","","",""
"escalope","shallot","white wine","","","","","","","","","","","","","","","","",""
"burgers","ground beef","energy drink","melons","","","","","","","","","","","","","","","",""
"shrimp","light mayo","","","","","","","","","","","","","","","","","",""
"shrimp","","","","","","","","","","","","","","","","","","",""
"french fries","escalope","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"burgers","milk","cooking oil","hot dogs","","","","","","","","","","","","","","","",""
"champagne","yogurt cake","light mayo","","","","","","","","","","","","","","","","",""
"cake","french fries","","","","","","","","","","","","","","","","","",""
"vegetables mix","french fries","","","","","","","","","","","","","","","","","",""
"burgers","spaghetti","cider","eggs","french fries","hot dogs","cottage cheese","","","","","","","","","","","","",""
"avocado","soda","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"turkey","burgers","red wine","tomatoes","spaghetti","mineral water","avocado","vegetables mix","pancakes","french fries","","","","","","","","","",""
"red wine","shrimp","frozen vegetables","mineral water","milk","whole wheat rice","fresh bread","green tea","","","","","","","","","","","",""
"grated cheese","frozen vegetables","tomatoes","spaghetti","olive oil","energy bar","honey","escalope","cauliflower","","","","","","","","","","",""
"shrimp","yams","milk","champagne","cottage cheese","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"grated cheese","energy bar","honey","","","","","","","","","","","","","","","","",""
"mineral water","black tea","almonds","","","","","","","","","","","","","","","","",""
"turkey","eggs","","","","","","","","","","","","","","","","","",""
"spaghetti","butter","chocolate bread","frozen smoothie","green tea","","","","","","","","","","","","","","",""
"cooking oil","champagne","escalope","","","","","","","","","","","","","","","","",""
"spaghetti","chicken","","","","","","","","","","","","","","","","","",""
"butter","pancakes","whole wheat rice","green tea","french fries","cookies","shallot","low fat yogurt","","","","","","","","","","","",""
"whole wheat rice","french fries","cookies","fresh bread","green tea","","","","","","","","","","","","","","",""
"whole wheat rice","yogurt cake","green tea","","","","","","","","","","","","","","","","",""
"soup","energy bar","cake","mint","","","","","","","","","","","","","","","",""
"mineral water","pancakes","oil","","","","","","","","","","","","","","","","",""
"cottage cheese","","","","","","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"mineral water","milk","energy bar","barbecue sauce","chocolate","low fat yogurt","","","","","","","","","","","","","",""
